# Make a gift redirects
makeagift.ucsf.edu/integrativehealth	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYHuWAM
makeagift.ucsf.edu/Osher	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYHuWAM?appealCode=OSH9W
makeagift.ucsf.edu/TKP	https://giving.ucsf.edu/fund/detail/01t8Z00000BdTqmQAF
makeagift.ucsf.edu/pharmacy	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJQWA2?appealCode=11PWEB
makeagift.ucsf.edu/PAA	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJQWA2?appealCode=PHA9F
makeagift.ucsf.edu/pharmd72	https://giving.ucsf.edu/fund/detail/01t8Z00000BdU66QAF?appealCode=PC72Z
makeagift.ucsf.edu/sustainSOP	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJQWA2?appealCode=PEA19
makeagift.ucsf.edu/DPTRS	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJBWA2
makeagift.ucsf.edu/psychiatry	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJ2WAM
makeagift.ucsf.edu/CTRP	https://giving.ucsf.edu/fund/detail/01t8Z00000BdToHQAV
makeagift.ucsf.edu/nextmission	https://giving.ucsf.edu/fund/detail/01t8Z00000BdTyHQAV
makeagift.ucsf.edu/PATHProgram	https://giving.ucsf.edu/fund/detail/01t8Z00000AdabQQAR?appealCode=1CP16
makeagift.ucsf.edu/can-d	https://giving.ucsf.edu/fund/detail/01t8Z00000AdaZtQAJ
makeagift.ucsf.edu/rheumatology	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJDWA2?appealCode=11XRHEW
makeagift.ucsf.edu/MAA	https://giving.ucsf.edu/fund/detail/01t8Z00000BdU6fQAF
makeagift.ucsf.edu/sebastian	https://giving.ucsf.edu/fund/detail/01t8Z00000AddhYQAR
makeagift.ucsf.edu/NAA	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYI4WAM?appealCode=NUR9F
makeagift.ucsf.edu/helenmartinaward	https://giving.ucsf.edu/fund/detail/01t8Z00000AdlfLQAR
makeagift.ucsf.edu/stemcell	https://giving.ucsf.edu/fund/stem-cell-and-regeneration-medicine/01t8Z00000BdTqQQAV
makeagift.ucsf.edu/RobertMatousek	https://giving.ucsf.edu/fund/thoracic-oncology-program/01t8Z00000BdU54QAF
makeagift.ucsf.edu/galante	https://giving.ucsf.edu/fund/maurice-galante-md-research-fund/01t8Z00000BdU5NQAV
makeagift.ucsf.edu/geriatricsurgery	https://giving.ucsf.edu/fund/geriatric-surgery/01t8Z00000BdTu7QAF
makeagift.ucsf.edu/maternalfetal	https://giving.ucsf.edu/fund/maternalfetal-precision-medicine-research/01t8Z00000BdToMQAV
makeagift.ucsf.edu/surgery	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYK3WAM?appealCode=11XSURW
makeagift.ucsf.edu/bcc	https://giving.ucsf.edu/fund/breast-care-center-bcc/01t8Z00000BdTuRQAV
makeagift.ucsf.edu/transplant	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJMWA2?appealCode=11XTRAW
makeagift.ucsf.edu/nursing	https://giving.ucsf.edu/fund/school-of-nursing-annual-fund/01t8Z00000BdU4TQAV?appealCode=11NWEB
makeagift.ucsf.edu/Milliken	https://giving.ucsf.edu/fund/nancy-milliken-endowed-professorship-for-womens-health-leadership/01t8Z00000BdU38QAF
makeagift.ucsf.edu/coe	https://giving.ucsf.edu/fund/center-of-excellence-in-womens-health/01t8Z00000BdTrOQAV
makeagift.ucsf.edu/SHESF	https://giving.ucsf.edu/fund/student-health-equity-scholars-fund/01t8Z00000BdU7OQAV
makeagift.ucsf.edu/SON	https://giving.ucsf.edu/fund/school-of-nursing-annual-fund/01t8Z00000BdU4TQAV
makeagift.ucsf.edu/urologic	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJ9WAM
makeagift.ucsf.edu/urology	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJ9WAM?appealCode=11XUROW
makeagift.ucsf.edu/uri	https://giving.ucsf.edu/fund/ucsfkaiser-undergraduate-research-internship-uri/01t8Z00000BdU5bQAF
makeagift.ucsf.edu/WomensHealth	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJ7WAM
makeagift.ucsf.edu/ANSIRH	https://giving.ucsf.edu/fund/advancing-new-standards-in-reproductive-health-ansirh-philanthropy-fund/01t8Z00000BdTxLQAV
makeagift.ucsf.edu/aspire	https://giving.ucsf.edu/fund/aspire-study-assessing-the-safety-of-pregnancy-in-the-coronavirus-pandemic-study/01t8Z00000AdacTQAR
makeagift.ucsf.edu/bixbycenter	https://giving.ucsf.edu/fund/bixby-center-for-global-reproductive-health/01t8Z00000BdTwCQAV?appealCode=23TBIXW
makeagift.ucsf.edu/bixby	https://giving.ucsf.edu/fund/bixby-center-for-global-reproductive-health/01t8Z00000BdTwCQAV?appealCode=23TBIXW
makeagift.ucsf.edu/Darney	https://giving.ucsf.edu/fund/darney-endowed-chair/01t8Z00000BdU7wQAF
makeagift.ucsf.edu/greenefoster	https://giving.ucsf.edu/fund/end-of-roe-study/01t8Z00000AdlK9QAJ
makeagift.ucsf.edu/PRHE	https://giving.ucsf.edu/fund/program-for-reproductive-health-and-the-environment-prhe/01t8Z00000BdTxDQAV
makeagift.ucsf.edu/DESCRT	https://giving.ucsf.edu/fund/reproductive-endocrinology-and-infertility-research-fund/01t8Z00000AdaZzQAJ?appealCode=DESCR
makeagift.ucsf.edu/ryan	https://giving.ucsf.edu/fund/ryan-residency-training-program/01t8Z00000BdU7XQAV
makeagift.ucsf.edu/JeanetteBrown	https://giving.ucsf.edu/fund/the-jeanette-brown-memorial-mentor-fund/01t8Z00000AdlKXQAZ
makeagift.ucsf.edu/GynOncTissueBank	https://giving.ucsf.edu/fund/gynecologic-oncology-tissue-bank/01t8Z00000AdlJyQAJ
makeagift.ucsf.edu/women	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJ7WAM
makeagift.ucsf.edu/gordonmurray	https://giving.ucsf.edu/fund/neuro-oncology-caregiver-program-endowment/01t8Z00000AdjkJQAR?amountList=25000,10000,5000,1000,500,100,25&giftChoice=5000
makeagift.ucsf.edu/caregiver	https://giving.ucsf.edu/fund/neuro-oncology-caregiver-program-endowment/01t8Z00000AdjkJQAR?amountList=25000,10000,5000,1000,500,100,25&giftChoice=5000
makeagift.ucsf.edu/sandlund	https://giving.ucsf.edu/fund/neuro-oncology-caregiver-program-endowment/01t8Z00000AdjkJQAR?amountList=25000,10000,5000,1000,500,100,25&giftChoice=5000
makeagift.ucsf.edu/MMTI	https://giving.ucsf.edu/fund/grand-multiple-myeloma-translational-initiative/01t8Z00000BdTxaQAF
makeagift.ucsf.edu/CarolViele	https://giving.ucsf.edu/fund/carol-viele-educational-excellence-fund/01t8Z00000AdjjQQAR
makeagift.ucsf.edu/SMcPhee	https://giving.ucsf.edu/fund/stephen-j-mcphee-md-endowed-chair-in-general-internal-medicine/01t8Z00000Adjk3QAB
makeagift.ucsf.edu/medreunion	https://giving.ucsf.edu/fund/school-of-medicine-class-reunion-scholarship/01t8Z00000AdjjPQAR
makeagift.ucsf.edu/partners	https://giving.ucsf.edu/fund/cancer-centers-greatest-needs/01t8Z00000BdTvwQAF?amountList=25000,10000,5000,2500,1000&giftChoice=1000
makeagift.ucsf.edu/presidentspartner	https://giving.ucsf.edu/fund/cancer-centers-greatest-needs/01t8Z00000BdTvwQAF?amountList=25000,10000,5000,2500,1000&giftChoice=1000
makeagift.ucsf.edu/partner	https://giving.ucsf.edu/fund/cancer-centers-greatest-needs/01t8Z00000BdTvwQAF?amountList=25000,10000,5000,2500,1000&giftChoice=1000
makeagift.ucsf.edu/presidentspartnerclc	https://giving.ucsf.edu/fund/cancer-centers-greatest-needs/01t8Z00000BdTvwQAF?amountList=25000,10000,5000,2500,1000&giftChoice=10000
makeagift.ucsf.edu/radiology	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYKSWA2
makeagift.ucsf.edu/margulis	https://giving.ucsf.edu
makeagift.ucsf.edu/rorl	https://giving.ucsf.edu/fund/ronald-l-arenson-md-endowment-for-innovative-research-in-radiology/01t8Z00000AdabuQAB
makeagift.ucsf.edu/GivetoKimNormaninhonorofTimandGary	https://giving.ucsf.edu/fund/young-adult-and-family-center/01t8Z00000BdTwpQAF?appealCode=TGW14
makeagift.ucsf.edu/Foundation2011	https://giving.ucsf.edu/fund/fund-for-ucsf/01t8Z00000BdU7LQAV?amountList=25000&giftChoice=25000
makeagift.ucsf.edu/foundation	https://giving.ucsf.edu/fund/fund-for-ucsf/01t8Z00000BdU7LQAV?amountList=25000&giftChoice=25000
makeagift.ucsf.edu/board	https://giving.ucsf.edu/fund/fund-for-ucsf/01t8Z00000BdU7LQAV?amountList=25000&giftChoice=25000?appealCode=FDW20
makeagift.ucsf.edu/Foundation2012	https://giving.ucsf.edu/fund/fund-for-ucsf/01t8Z00000BdU7LQAV?amountList=25000&giftChoice=25000
makeagift.ucsf.edu/foundation2013	https://giving.ucsf.edu/fund/fund-for-ucsf/01t8Z00000BdU7LQAV?amountList=25000&giftChoice=25000
makeagift.ucsf.edu/annualappeal	https://giving.ucsf.edu/fund/fund-for-ucsf/01t8Z00000BdU7LQAV?amountList=25000&giftChoice=25000
makeagift.ucsf.edu/UCSFFresno	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJ8WAM
makeagift.ucsf.edu/ucfresno	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYJ8WAM
makeagift.ucsf.edu/kallsen	https://giving.ucsf.edu/fund/gene-w-kallsen-md-endowed-chair/01t8Z00000BdU8GQAV
makeagift.ucsf.edu/grumbach	https://giving.ucsf.edu/fund/melvin-grumbach-research-award/01t8Z00000AdjgkQAB
makeagift.ucsf.edu/melvingrumbach	https://giving.ucsf.edu/fund/melvin-grumbach-research-award/01t8Z00000AdjgkQAB
makeagift.ucsf.edu/braintumor	https://giving.ucsf.edu/fund/brain-tumor-research-center/01t8Z00000BdTqpQAF?appealCode=11XBTCW
makeagift.ucsf.edu/generalprimarycare	https://giving.ucsf.edu/fund/zsfg-primary-care-internal-medicine-residency-fund/01t8Z00000Adjg1QAB
makeagift.ucsf.edu/thoracic	https://giving.ucsf.edu/fund/thoracic-oncology-program/01t8Z00000BdU54QAF?appealCode=THSZW
makeagift.ucsf.edu/bloodcancer	https://giving.ucsf.edu/fund/adult-hematopoietic-malignancies-general-fund/01t8Z00000AdjetQAB
makeagift.ucsf.edu/immunologypartnersfund	https://giving.ucsf.edu/fund/ucsf-immunology-partners-fund/01t8Z00000Adaf8QAB
makeagift.ucsf.edu/prostatecancer	https://giving.ucsf.edu/fund/prostate-genitourinary-cancers-research-fund/01t8Z00000AdjapQAB
makeagift.ucsf.edu/GUoncology	https://giving.ucsf.edu/fund/prostate-genitourinary-cancers-research-fund/01t8Z00000AdjapQAB?appealCode=PRGWP
makeagift.ucsf.edu/cloudcoaching	https://donate.ucsfbenioffchildrens.org/category/childrens-fund
makeagift.ucsf.edu/medicalcenterfund	https://giving.ucsf.edu/fund/ucsf-medical-center-and-hospitals/01t8Z00000BdTqyQAF
makeagift.ucsf.edu/AthenaBreastHealthNetwork	https://giving.ucsf.edu/fund/surgeryathena-breast-care-initiative-esserman/01t8Z00000AdjanQAB
makeagift.ucsf.edu/ucsfskeletalhealth	https://giving.ucsf.edu/fund/sawyer-innovation/01t8Z00000AdjcoQAB
makeagift.ucsf.edu/Discovery	https://giving.ucsf.edu/fund/ucsf-biomedical-discovery-fund/01t8Z00000BdTsfQAF
makeagift.ucsf.edu/MOFFITT	https://giving.ucsf.edu/fund/berger-glioma-research-fund/01t8Z00000AdjceQAB
makeagift.ucsf.edu/LGBTQI	https://giving.ucsf.edu/fund/the-pride-study/01t8Z00000AdjaMQAR
makeagift.ucsf.edu/hemetissuebank	https://giving.ucsf.edu/fund/hematologic-malignancies-tissue-bank/01t8Z00000AdjbzQAB
makeagift.ucsf.edu/cranio	https://giving.ucsf.edu/fund/the-ucsf-craniofacial-center/01t8Z00000BdTrAQAV
makeagift.ucsf.edu/UCSFfuture	https://giving.ucsf.edu/fund/future-of-ucsf/01t8Z00000Adjb1QAB
makeagift.ucsf.edu/AME	https://giving.ucsf.edu/fund/psychiatry-faculty-support-fund/01t8Z00000AdjaKQAR
makeagift.ucsf.edu/olney	https://giving.ucsf.edu/fund/richard-k-olney-endowed-professorship/01t8Z00000AdjaIQAR
makeagift.ucsf.edu/young	https://giving.ucsf.edu/fund/bill-young-research-endowment/01t8Z00000BdU3zQAF
makeagift.ucsf.edu/rosen	https://giving.ucsf.edu/fund/mark-rosen-educational-endowment/01t8Z00000BdU81QAF
makeagift.ucsf.edu/prometheus	https://donate.ucsfbenioffchildrens.org/category/childrens-fund?appealCode=K3PHC
makeagift.ucsf.edu/BigGive4Kids	https://donate.ucsfbenioffchildrens.org/category/childrens-fund?appealCode=K4BGK
makeagift.ucsf.edu/childrensfund-today	https://donate.ucsfbenioffchildrens.org/category/childrens-fund?appealCode=KG4WB
makeagift.ucsf.edu/sfbr	https://donate.ucsfbenioffchildrens.org/category/childrens-fund?appealCode=KSFBR
makeagift.ucsf.edu/grandmmti	https://giving.ucsf.edu/fund/grand-multiple-myeloma-translational-initiative/01t8Z00000BdTxaQAF?appealCode=MMCE7
makeagift.ucsf.edu/dentistryclinics	https://giving.ucsf.edu/fund/dental-center-fund/01t8Z00000Adhq9QAB?appealCode=SD5WB
makeagift.ucsf.edu/dental	https://giving.ucsf.edu/fund/dental-center-fund/01t8Z00000Adhq9QAB?appealCode=SD7WB
makeagift.ucsf.edu/SRL16	https://giving.ucsf.edu/fund/neuroendocrine-tumor-research-fund/01t8Z00000BdTtUQAV?appealCode=SRL16
makeagift.ucsf.edu/heyman	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Pediatric IBD Research and Education (B1636) in honor of Dr. Mel Heyman&appealCode=CA
makeagift.ucsf.edu/JP	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?appealCode=JEP
makeagift.ucsf.edu/LY	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?appealCode=LY
makeagift.ucsf.edu/SFProm	https://donate.ucsfbenioffchildrens.org/fund/child-life-services-san-francisco/01t8Z00000BdTp3QAF
makeagift.ucsf.edu/BCHSFsocialservices	https://donate.ucsfbenioffchildrens.org/fund/pediatric-social-services-fund-san-francisco/01t8Z00000BdTouQAF?amountList=1000,2500,5000,10000&giftChoice=1000?appealCode=SYMI
makeagift.ucsf.edu/glogauteddybearfund	https://donate.ucsfbenioffchildrens.org/fund/richard-glogau-teddy-bear-rescue-fund/01t8Z00000AdhnyQAB?appealCode=TB20
makeagift.ucsf.edu/HIH	https://donate.ucsfbenioffchildrens.org/fund/childrens-fund?appealCode=KBCH14&amountList=1000,2500,5000,10000&giftChoice=1000
makeagift.ucsf.edu/handinhand	https://donate.ucsfbenioffchildrens.org/fund/childrens-fund?appealCode=KBCH9&amountList=1000,2500,5000,10000&goftChoice=1000
makeagift.ucsf.edu/nw18	https://donate.ucsfbenioffchildrens.org/fund/ucsf-benioff-childrens-hospital-oakland-notes-and-words/01t8Z00000BdTocQAF?appealCode=NW18
makeagift.ucsf.edu/PECE	https://donate.ucsfbenioffchildrens.org/fund/pediatric-epilepsy-center-of-excellence/01t8Z00000BdToDQAV?appealCode=PECE
makeagift.ucsf.edu/phc	https://donate.ucsfbenioffchildrens.org/fund/pediatric-cardiology-research/01t8Z00000BdTpoQAF?appealCode=PECE
makeagift.ucsf.edu/arlie	https://donate.ucsfbenioffchildrens.org/fund/ucsf-benioff-childrens-hospital-oakland
makeagift.ucsf.edu/Kids365	https://donate.ucsfbenioffchildrens.org/fund/childrens-fund?donationType=monthly&appealCode=KBCH6
makeagift.ucsf.edu/renew	https://donate.ucsfbenioffchildrens.org/fund/childrens-fund?appealCode=KBCH10
makeagift.ucsf.edu/kids	https://donate.ucsfbenioffchildrens.org/fund/childrens-fund?appealCode=KBCH11
makeagift.ucsf.edu/connections	https://donate.ucsfbenioffchildrens.org/fund/childrens-fund?appealCode=KBCH12
makeagift.ucsf.edu/givetoday	https://donate.ucsfbenioffchildrens.org/fund/childrens-fund?appealCode=KBCH15
makeagift.ucsf.edu/children	https://donate.ucsfbenioffchildrens.org/category/childrens-fund?appealCode=KBCH16
makeagift.ucsf.edu/AadiSingh	https://donate.ucsfbenioffchildrens.org/fund/child-life-services-san-francisco/01t8Z00000BdTp3QAF?appealCode=LY
makeagift.ucsf.edu/ambassadors	https://donate.ucsfbenioffchildrens.org/fund/ambassadors-of-bch/01t8Z00000AdhlxQAB
makeagift.ucsf.edu/Marge	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Child Life Services&appealCode=LY
makeagift.ucsf.edu/ChildrensCancerCenter	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000Ada9LQAR
makeagift.ucsf.edu/creativearts	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000Ada9gQAB
makeagift.ucsf.edu/bch	https://donate.ucsfbenioffchildrens.org/category/childrens-fund
makeagift.ucsf.edu/give2017	https://donate.ucsfbenioffchildrens.org/category/childrens-fund
makeagift.ucsf.edu/petersonmusictherapy	https://donate.ucsfbenioffchildrens.org/fund/creative-arts-therapy-program-san-francisco/01t8Z00000Ada9gQAB
makeagift.ucsf.edu/jackofhearts	https://donate.ucsfbenioffchildrens.org/fund/jack-of-hearts/01t8Z00000AdhkaQAB
makeagift.ucsf.edu/SPARK	https://donate.ucsfbenioffchildrens.org/category/childrens-fund?appealCode=SPRK7
makeagift.ucsf.edu/jaredkurtinmusictherapy	https://donate.ucsfbenioffchildrens.org/fund/pediatric-music-therapy-oakland/01t8Z00000AdaQVQAZ
makeagift.ucsf.edu/rickswedding	https://donate.ucsfbenioffchildrens.org/fund/pediatric-emergency-medicine/01t8Z00000AdaQDQAZ?appealCode=K8019
makeagift.ucsf.edu/childrens	https://donate.ucsfbenioffchildrens.org/category/childrens-fund?appealCode=KHWD6
makeagift.ucsf.edu/NICN	https://donate.ucsfbenioffchildrens.org/fund/neurointensive-care-nursery/01t8Z00000BdTpGQAV?appealCode=NICN
makeagift.ucsf.edu/shelley	https://donate.ucsfbenioffchildrens.org/category/childrens-fund
makeagift.ucsf.edu/pediatricdiabetes	https://donate.ucsfbenioffchildrens.org/fund/madison-clinic-for-pediatric-diabetes/01t8Z00000BdTpOQAV
makeagift.ucsf.edu/RLB	https://donate.ucsfbenioffchildrens.org/fund/randie-lynn-baruh-pediatric-cancer-research-fund/01t8Z00000AddPjQAJ?appealCode=23KRC1
makeagift.ucsf.edu/childrensfund	https://donate.ucsfbenioffchildrens.org/category/childrens-fund?appealCode=KBCH7
makeagift.ucsf.edu/pedsdiabetes	https://donate.ucsfbenioffchildrens.org/category/detail/0ZG8Z000000oYKrWAM?appealCode=KDRM2
makeagift.ucsf.edu/pedsIBD	https://donate.ucsfbenioffchildrens.org/fund/pediatric-inflammatory-bowel-disease-research/01t8Z00000BdTo6QAF
makeagift.ucsf.edu/hope	https://donate.ucsfbenioffchildrens.org/category/0ZG8Z000000PQgrWAG
makeagift.ucsf.edu/nicu	https://donate.ucsfbenioffchildrens.org/fund/neonatal-intensive-care-unit-oakland/01t8Z00000BdTpMQAV?appealCode=K020
makeagift.ucsf.edu/BCHChildImmigrantHealth	https://donate.ucsfbenioffchildrens.org/fund/center-of-excellence-for-immigrant-child-health-and-wellbeing/01t8Z00000BdTp4QAF
makeagift.ucsf.edu/BP28	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTokQAF%26appealCode%3DKBP28
makeagift.ucsf.edu/partnersgive	https://donate.ucsfbenioffchildrens.org/fund/childrens-cancer-fund/01t8Z00000BdTnbQAF?&appealCode=PEDDF
makeagift.ucsf.edu/bchsfsocialwork	https://donate.ucsfbenioffchildrens.org/fund/pediatric-social-services-fund-san-francisco/01t8Z00000BdTouQAF&appealCode=SWYMI
makeagift.ucsf.edu/perloff	https://donate.ucsfbenioffchildrens.org/fund/laura-gregg-perloff-endowment-for-music-therapy/01t8Z00000AdhcXQAR
makeagift.ucsf.edu/thaler	https://giving.ucsf.edu
makeagift.ucsf.edu/ibd	https://giving.ucsf.edu/fund/pediatric-inflammatory-bowel-disease-research/01t8Z00000BdTo6QAF?amountList=5000,2500,1000,500,250,100&giftChoice=500
makeagift.ucsf.edu/OTI	https://giving.ucsf.edu/fund/orthopaedic-trauma-fund/01t8Z00000AdhemQAB?amountList=5000,2500,1000,500,250,100&giftChoice=5000
makeagift.ucsf.edu/mcclellan-fellowship	https://giving.ucsf.edu/fund/the-morgan-and-madison-mcclellan-endowment-for-international-research-fellowship/01t8Z00000BdU2aQAF?amountList=5000,2500,1000,500,250,100&giftChoice=5000
makeagift.ucsf.edu/abbott	https://giving.ucsf.edu/fund/abbott-society-endowed-fund/01t8Z00000AdhcqQAB?amountList=5000,2500,1000,500,250,100&giftChoice=500
makeagift.ucsf.edu/frieden-williams	https://giving.ucsf.edu/fund/friedenwilliams-endowment-for-research-and-specialty-care/01t8Z00000AdhDRQAZ?amountList=5000,2500,1000,500,250,100&giftChoice=5000
makeagift.ucsf.edu/privacy	https://www.ucsf.edu/website-privacy-policy
makeagift.ucsf.edu/send-a-card	https://giving.ucsf.edu
makeagift.ucsf.edu/contactus	https://giving.ucsf.edu/contact
makeagift.ucsf.edu/rickrides	https://giving.ucsf.edu
makeagift.ucsf.edu/cecily.gorfain	https://giving.ucsf.edu
makeagift.ucsf.edu/jennysmith	https://giving.ucsf.edu
makeagift.ucsf.edu/robertrosen	https://giving.ucsf.edu
makeagift.ucsf.edu/momsprogram	https://giving.ucsf.edu
makeagift.ucsf.edu/stanley	https://giving.ucsf.edu
makeagift.ucsf.edu/matteo	https://giving.ucsf.edu
makeagift.ucsf.edu/walkpancreatic	https://giving.ucsf.edu
makeagift.ucsf.edu/w4pc	https://giving.ucsf.edu
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_GeneralGivingForm	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/SPageServer?pagename=A1_API_GeneralGivingFormOtherStudent20AwardszzzB7951	https://giving.ucsf.edu/fund/other?giftComments=Student Awards B7951)
makeagift.ucsf.edu/site/SPageServer?Other= Neuroblastoma Research in memory of Stephanie Millward	https://giving.ucsf.edu/fund/other?tribute=2&tributeFullName=Stephanie Millward&giftComments=Neuroblastoma Research in memory of Stephanie Millward
makeagift.ucsf.edu/site/SPageServer?Other=Give Breast Cancer The Boot (B7658)&Primary=Cancer&AppealCode=GBC18&GiftChoice=25	https://giving.ucsf.edu/fund/other?giftComments=Give Breast Cancer The Boot (B7658)&appealCode=GBC18&donationType=monthly
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_UCSFFoundationAnnualGivingForm&Year=2014	https://giving.ucsf.edu/fund/directors-priority-fund
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_UCSFFundGivingForm&ACode=B0079	https://giving.ucsf.edu/fund/orthodontics-fund-for-excellence
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_UCSFFUNDGivingForm&ACode=B7059	https://giving.ucsf.edu/
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_UCSFFUNDGivingForm&ACode=B7060	https://giving.ucsf.edu/
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_UCSFFUNDGivingForm&AppealCode=ANT15&NONCE_TOKEN=99300ECA59DC15A4BA3A3072C72B2C7D	https://giving.ucsf.edu/fund/other?appealCode=ANT15
makeagift.ucsf.edu/site/SPageServer?Primary=Department of Medicine&ACode=B7097	https://giving.ucsf.edu/fund/heal-initiative
makeagift.ucsf.edu/site/SPageServer?Primary=Division of Pulmonary&ACode=B3168	https://giving.ucsf.edu/fund/the-nina-ireland-fund
makeagift.ucsf.edu/site/SPageServer?Primary=Family and Community Medicine&ACode= B3126	https://giving.ucsf.edu/fund/clara-shen-teaching-fund
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_FlexSustainerGivingForm&AppealCode=11SWELS	https://giving.ucsf.edu/fund/other?&appealCode=11SWELS
makeagift.ucsf.edu/site/SPageServer?Other=Center for Geriatric Care Fund (B3270)	https://giving.ucsf.edu/fund/other?giftComments=Center for Geriatric Care Fund (B3270)
makeagift.ucsf.edu/site/SPageServer?Primary=Benioff Children's Hospital&Other= Neuroblastoma Research (B0556)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTnwQAF
makeagift.ucsf.edu/site/SPageServer?Primary=Benioff Children's Hospital&Other=Child Life Services (B0948)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTp3QAF
makeagift.ucsf.edu/site/SPageServer?Primary=Benioff Children's Hospital&Other=Early Phase Clinical Trials (Steve DuBois Pediatric Oncology Research) (B3331)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Early Phase Clinical Trials (Steve DuBois Pediatric Oncology Research) (B3331)
makeagift.ucsf.edu/site/SPageServer?Primary=Benioff Children's Hospital&Other=General Pediatric Oncology Research Fund (B0514)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=General Pediatric Oncology Research Fund (B0514)
makeagift.ucsf.edu/site/SPageServer?Primary=Benioff Children's Hospital&Other=Late Effects Research (Survivors of Childhood Cancer Program) (B1896)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Late Effects Research (Survivors of Childhood Cancer Program) (B1896)
makeagift.ucsf.edu/site/SPageServer?Primary=Benioff Children's Hospital&Other=Leukemia Research (B2072)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Leukemia Research (B2072)
makeagift.ucsf.edu/site/SPageServer?Primary=Benioff Children's Hospital&Other=Neuroblastoma Research (B0556)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTnwQAF
makeagift.ucsf.edu/site/SPageServer?Primary=Benioff Children's Hospital&Other=Pediatric Dialysis Unit (ID7013521)	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Pediatric Dialysis Unit (ID7013521)
makeagift.ucsf.edu/site/SPageServer?Primary=Cancer&Other=Jack McAninch, MD Lectureship Endowment Fund (S8018)	https://giving.ucsf.edu/fund/other?giftComments=Jack McAninch, MD Lectureship Endowment Fund (S8018)
makeagift.ucsf.edu/site/SPageServer?Primary=Cancer&Other=We Go for Good (B2694)	https://giving.ucsf.edu/fund/other?giftComments=We Go for Good (B2694)
makeagift.ucsf.edu/site/SPageServer?Primary=Diabetes&ACode=B2957	https://giving.ucsf.edu/fund/01t8Z00000BdTpOQAV
makeagift.ucsf.edu/site/SPageServer?Primary=Graduate Education&Other=Krevans Scholarship (U5008)	https://giving.ucsf.edu/fund/other?giftComments=Krevans Scholarship (U5008)
makeagift.ucsf.edu/site/SPageServer?Primary=Kidney Disease&Other=KHRC (ID7027748)	https://giving.ucsf.edu/fund/other?giftComments=KHRC (ID7027748)
makeagift.ucsf.edu/site/SPageServer?Primary=Medical Education&ACode=B3144&AppealCode=MEDED	https://giving.ucsf.edu/fund/01t8Z00000BdU2QQAV?appealCode=MEDED
makeagift.ucsf.edu/site/SPageServer?Primary=Medical Education&Other=SOM Senior Class Gift Fund (B7209)	https://giving.ucsf.edu/fund/other?giftComments=SOM Senior Class Gift Fund (B7209)
makeagift.ucsf.edu/site/SPageServer?pagename=A1_API_UCSFFundGivingForm&ACode=B3249	https://giving.ucsf.edu/fund/other?giftComments=The PRIDE Study Fund B3249
